"location","LAT","LNG","count1","count2","count3"
"基隆市",25.13,121.74,5,5,1
"台北市",25.03,121.57,81,72,44
"新北市",25.02,121.46,40,42,20
"桃園",24.99,121.3,34,34,11
"新竹縣",24.84,121.02,18,10,11
"苗栗縣",24.56,120.82,15,11,6
"台中縣",24.15,120.67,21,27,21
"南投縣",23.96,120.97,8,6,10
"彰化縣",24.05,120.52,6,11,11
"雲林縣",23.71,120.43,7,9,2
"嘉義縣",23.45,120.26,7,18,12
"台南",22.99,120.23,17,12,20
"高雄市",22.63,120.3,23,23,10
"屏東",22.55,120.55,11,14,3
"宜蘭",24.7,121.74,3,7,8
"花蓮",23.99,121.6,6,8,0
"台東",22.79,121.07,6,9,11
"澎湖",23.57,119.58,4,4,0
"金門",24.45,118.38,3,5,5
